Row Labels,Sum of Approval,Claims,Approval Rate
Other,17305,34852,50
Luggage (all types including footlockers),9468,17324,55
"Clothing - Shoes, belts, accessories, etc.",7735,13825,56
Jewelry - Fine,3195,9247,35
Locks,4448,8999,49
Cameras - Digital,3615,8625,42
Unlisted,2070,8377,25
Baggage/Cases/Purses,2467,8338,30
Computer - Laptop,2746,8210,33
Computer & Accessories,1746,6714,26
Clothing,1944,6071,32
Jewelry & Watches,790,5140,15
Travel Accessories,2271,4443,51
Personal Electronics,1099,4340,25
Eyeglasses - (including contact lenses),2324,3672,63
Currency,996,3552,28
"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",1533,3271,47
Personal Accessories,940,2687,35
Cosmetics & Grooming,728,2658,27
Cell Phones,906,2007,45
Sporting Equipment & Supplies,681,1869,36
Cameras,321,1656,19
Food & Drink,371,1273,29
Medical/Science,324,1195,27
DVD/CD Players,579,1179,49
Home Decor,370,1027,36
Medicines,438,968,45
Household Items,237,808,29
"MP3 Players-(iPods, etc)",204,794,26
Jewelry - Costume,175,779,22
"Sporting Equipment & Supplies (footballs, parachutes, etc.)",274,777,35
Hunting & Fishing Items,202,722,28
Watches - Expensive more than $100,198,715,28
"Cameras - Digital; Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",115,696,17
Audio/Video,163,660,25
Stereo Items & Accessories,231,620,37
"Baby - Strollers, car seats, playpen, etc.",501,619,81
Locks; Luggage (all types including footlockers),173,575,30
GPS - Global Positioning System,94,574,16
Tools & Home Improvement Supplies,118,489,24
Handbags & Purses (leather or fabric),149,469,32
Alcoholic beverages,70,455,15
Baggage/Cases/Purses; Travel Accessories,96,437,22
PDA - Personal Data Assistants,206,410,50
Baggage/Cases/Purses; Clothing,56,409,14
Automobile Parts & Accessories,41,391,10
Musical Instruments - Other - Over $250,180,382,47
Toys & Games,102,370,28
Musical Instruments & Accessories,83,347,24
"Clothing - Shoes, belts, accessories, etc.; Other",80,335,24
"Clothing - Shoes, belts, accessories, etc.; Luggage (all types including footlockers)",68,323,21
"Dishes, Pottery, Glassware, Plasticware",131,323,41
"Clothing - Shoes, belts, accessories, etc.; Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",44,312,14
Cameras - Digital; Other,38,310,12
Medical Equipment & Insturments,146,299,49
"Toys (game systems, cartridges, radio controlled cars, etc.)",57,299,19
Fish/Game,180,298,60
Clothing; Cosmetics & Grooming,47,288,16
"Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",72,237,30
Tools - Manual (not in a vehicle),62,229,27
Clothing; Other,44,221,20
"Books, Magazines & Other",76,211,36
Photographic Film,84,209,40
Jewelry - Costume; Jewelry - Fine,16,205,8
Watches - Inexpensive $100 or less,91,198,46
"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.; Other",34,197,17
"Barber Supplies - Scissors, shears, elecric razors, etc.",64,192,33
"Kitchen Utensils -Pots, Pans, Knives (heavy aluminum, cast iron, etc.)",45,191,24
"Bags - Fabric, plastic, etc. (not purses)",96,172,56
Computer - Laptop; Other,35,168,21
Currency; Other,26,162,16
Jewelry & Watches; Jewelry & Watches,20,161,12
Baggage/Cases/Purses; Cosmetics & Grooming,25,157,16
Clothing; Food & Drink,33,156,21
Baggage/Cases/Purses; Other,32,149,21
Cameras; Cameras,26,148,18
Luggage (all types including footlockers); Other,35,145,24
"MP3 Players-(iPods, etc); Other",30,139,22
Locks; Other,37,136,27
Other; Other,36,131,27
Automobile Parts,18,127,14
"Paintings and Pictures (including frames, etchings, photos, etc)",42,127,33
Clothing; Jewelry & Watches,12,124,10
Dental Equipment and Instruments,48,121,40
"Bags - Fabric, plastic, etc. (not purses); Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",25,115,22
Professional Equipment,25,113,22
Computer & Accessories; Personal Electronics,18,112,16
Other; Personal Electronics,15,110,14
Computer & Accessories; Other,16,106,15
Cosmetics & Grooming; Jewelry & Watches,10,106,9
"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.; Luggage (all types including footlockers)",17,105,16
Other; Travel Accessories,46,101,46
